Date,Clicks,Impressions,CTR,Position
2026-05-18,42,895,4.69%,17.7
2026-05-19,41,832,4.93%,14.8
2026-05-20,43,1065,4.04%,17.4
2026-05-21,25,1284,1.95%,15.8
2026-05-22,31,1241,2.5%,24.3
2026-05-23,21,848,2.48%,19.9
2026-05-24,20,1619,1.24%,29.7
2026-05-25,35,1192,2.94%,19.1
2026-05-26,34,1108,3.07%,18.8
2026-05-27,23,1055,2.18%,15.1
2026-05-28,29,1024,2.83%,18.4
2026-05-29,37,1098,3.37%,18.7
2026-05-30,42,1014,4.14%,14.2
2026-05-31,41,1358,3.02%,23.5
2026-06-01,35,1173,2.98%,15.2
2026-06-02,30,987,3.04%,14.2
2026-06-03,29,1002,2.89%,12.2
2026-06-04,33,1105,2.99%,17
2026-06-05,34,1098,3.1%,15.7
2026-06-06,32,975,3.28%,15.3
2026-06-07,36,1697,2.12%,32.8
2026-06-08,57,1275,4.47%,16.7
2026-06-09,39,1231,3.17%,16.2
2026-06-10,29,1078,2.69%,12.4
2026-06-11,48,1134,4.23%,15.8
2026-06-12,47,1064,4.42%,17.2
2026-06-13,26,922,2.82%,15
2026-06-14,25,2171,1.15%,35.4
