Date,Clicks,Impressions,CTR,Position
2026-04-04,15,1322,1.13%,11.1
2026-04-05,22,1226,1.79%,12.2
2026-04-06,25,1540,1.62%,10.4
2026-04-07,26,1649,1.58%,10.5
2026-04-08,37,1768,2.09%,10.9
2026-04-09,26,1644,1.58%,9.9
2026-04-10,35,1493,2.34%,13.1
2026-04-11,39,1498,2.6%,11
2026-04-12,22,1570,1.4%,13.1
2026-04-13,29,1724,1.68%,12.1
2026-04-14,38,1597,2.38%,12.3
2026-04-15,39,1554,2.51%,10.9
2026-04-16,26,1674,1.55%,13.9
2026-04-17,25,1457,1.72%,14.4
2026-04-18,22,1221,1.8%,12.8
2026-04-19,32,1571,2.04%,13
2026-04-20,31,1775,1.75%,10.8
2026-04-21,41,1555,2.64%,10.3
2026-04-22,23,1491,1.54%,10.7
2026-04-23,26,1587,1.64%,12.2
2026-04-24,30,1449,2.07%,12.8
2026-04-25,17,1233,1.38%,11
2026-04-26,23,1451,1.59%,11.8
2026-04-27,38,1836,2.07%,12.5
2026-04-28,47,1633,2.88%,9.2
2026-04-29,30,1669,1.8%,12.2
2026-04-30,30,1751,1.71%,11.8
2026-05-01,25,1113,2.25%,15.2
