Country,Clicks,Impressions,CTR,Position
Canada,915,31330,2.92%,20.27
United States,91,22412,0.41%,10.05
Pakistan,11,44,25%,9.61
Philippines,7,183,3.83%,10.89
United Kingdom,5,340,1.47%,27.12
India,3,292,1.03%,16.6
Germany,3,74,4.05%,10.86
France,3,46,6.52%,6.85
Finland,3,24,12.5%,4.08
Taiwan,3,21,14.29%,5.05
Australia,2,103,1.94%,15.62
Netherlands,2,38,5.26%,9.42
Nigeria,2,31,6.45%,9.29
Hong Kong,2,23,8.7%,8.17
Japan,1,47,2.13%,8.85
Italy,1,44,2.27%,6.34
Jamaica,1,25,4%,7.28
China,1,24,4.17%,6
Greece,1,15,6.67%,8.33
Latvia,1,3,33.33%,6.33
Brazil,0,110,0%,15.59
Mexico,0,77,0%,9.94
Malaysia,0,77,0%,11.78
Vietnam,0,74,0%,20.43
Indonesia,0,70,0%,14.8
New Zealand,0,70,0%,65.7
Singapore,0,51,0%,6.63
Argentina,0,42,0%,17
South Korea,0,42,0%,17.29
Spain,0,37,0%,10.03
Colombia,0,30,0%,19.07
Ireland,0,28,0%,9.89
Trinidad & Tobago,0,25,0%,5.92
Bahamas,0,22,0%,7.45
South Africa,0,22,0%,11.86
Bangladesh,0,21,0%,21.33
Algeria,0,19,0%,19.84
Belgium,0,18,0%,4.78
Turkey,0,17,0%,13.76
Ecuador,0,17,0%,16.94
Russia,0,17,0%,19.29
Barbados,0,16,0%,6.31
Chile,0,16,0%,16.31
Ukraine,0,16,0%,21.31
Thailand,0,14,0%,15.29
Egypt,0,14,0%,27.79
Sweden,0,13,0%,14.08
Dominican Republic,0,13,0%,16.23
Kenya,0,12,0%,10.75
Israel,0,11,0%,11.91
Poland,0,10,0%,9.6
Saudi Arabia,0,10,0%,21.4
Denmark,0,9,0%,6.78
Morocco,0,9,0%,8.44
Venezuela,0,8,0%,10.62
Czechia,0,8,0%,14.25
Peru,0,8,0%,19
St. Lucia,0,7,0%,5.71
Iraq,0,7,0%,25.29
Ghana,0,6,0%,6.5
Switzerland,0,6,0%,16.5
Ethiopia,0,6,0%,23
Serbia,0,6,0%,26.83
Costa Rica,0,6,0%,31.33
Qatar,0,5,0%,4
Belize,0,5,0%,4.6
Puerto Rico,0,5,0%,5.8
Guyana,0,5,0%,6.2
Guatemala,0,5,0%,6.8
Nepal,0,5,0%,11
United Arab Emirates,0,5,0%,13.2
Jordan,0,5,0%,30.4
Uruguay,0,5,0%,40.8
Iran,0,4,0%,2.75
Bolivia,0,4,0%,7
Botswana,0,4,0%,11.5
El Salvador,0,4,0%,13.5
Uzbekistan,0,4,0%,19.25
Malta,0,3,0%,4
Dominica,0,3,0%,4.33
Romania,0,3,0%,6.33
Hungary,0,3,0%,6.67
Grenada,0,3,0%,8.33
Congo - Kinshasa,0,3,0%,14.67
Cambodia,0,3,0%,17.33
Lebanon,0,3,0%,19.33
Georgia,0,3,0%,22.67
Kyrgyzstan,0,3,0%,25.67
Iceland,0,2,0%,1
Cuba,0,2,0%,5
Honduras,0,2,0%,5
Cyprus,0,2,0%,5.5
Norway,0,2,0%,6
Palestine,0,2,0%,6
Bulgaria,0,2,0%,6.5
Panama,0,2,0%,6.5
Suriname,0,2,0%,7
Montenegro,0,2,0%,8
Malawi,0,2,0%,8.5
Laos,0,2,0%,11.5
Zimbabwe,0,2,0%,11.5
Kazakhstan,0,2,0%,12.5
Austria,0,2,0%,17.5
Cayman Islands,0,2,0%,20
Tanzania,0,2,0%,20.5
Oman,0,2,0%,22
Portugal,0,2,0%,22.5
Armenia,0,2,0%,24
Azerbaijan,0,2,0%,29
Tunisia,0,2,0%,31
Paraguay,0,2,0%,31.5
Isle of Man,0,1,0%,1
Kosovo,0,1,0%,1
Afghanistan,0,1,0%,2
Myanmar (Burma),0,1,0%,2
Croatia,0,1,0%,4
Mongolia,0,1,0%,4
Seychelles,0,1,0%,4
Bahrain,0,1,0%,5
Estonia,0,1,0%,5
Faroe Islands,0,1,0%,5
Haiti,0,1,0%,5
Moldova,0,1,0%,5
Sierra Leone,0,1,0%,5
Albania,0,1,0%,6
Uganda,0,1,0%,6
Nicaragua,0,1,0%,7
Guam,0,1,0%,8
Monaco,0,1,0%,8
Antigua & Barbuda,0,1,0%,9
Turkmenistan,0,1,0%,9
Belarus,0,1,0%,10
Sri Lanka,0,1,0%,10
Rwanda,0,1,0%,11
Côte d’Ivoire,0,1,0%,21
Cape Verde,0,1,0%,22
Senegal,0,1,0%,29
Sudan,0,1,0%,41
Angola,0,1,0%,46
