Date,Clicks,Impressions,CTR,Position
2026-06-01,35,1173,2.98%,15.2
2026-06-02,30,987,3.04%,14.2
2026-06-03,29,1002,2.89%,12.2
2026-06-04,33,1105,2.99%,17
2026-06-05,34,1098,3.1%,15.7
2026-06-06,32,975,3.28%,15.3
2026-06-07,36,1697,2.12%,32.8
2026-06-08,57,1275,4.47%,16.7
2026-06-09,39,1231,3.17%,16.2
2026-06-10,29,1078,2.69%,12.4
2026-06-11,48,1134,4.23%,15.8
2026-06-12,47,1064,4.42%,17.2
2026-06-13,26,922,2.82%,15
2026-06-14,25,2171,1.15%,35.4
2026-06-15,56,1903,2.94%,27.6
2026-06-16,42,1727,2.43%,23.4
2026-06-17,37,1320,2.8%,14.7
2026-06-18,38,1247,3.05%,15.8
2026-06-19,31,1129,2.75%,16.2
2026-06-20,26,970,2.68%,14
2026-06-21,33,1757,1.88%,32.2
2026-06-22,57,1487,3.83%,15.5
2026-06-23,51,1372,3.72%,17.5
2026-06-24,38,1130,3.36%,13.8
2026-06-25,38,1320,2.88%,18
2026-06-26,33,1193,2.77%,16.6
2026-06-27,28,1008,2.78%,15
2026-06-28,42,1317,3.19%,21
